SiteCode,Year,JulAugHighest_TempC,JulAugLowest_TempC,JulAugAvgMin,JulAugAvgMax,Avg_JulAug_TempC,PropLogG20JulAug,PropLogG24JulAug
Bear.Loyalsock,2020,19.377,13.654,16.644629032258063,17.948451612903227,17.308121471774193,0,0
Brunnerdale.Ogdonia,2020,19.377,12.497,14.510064516129033,15.907032258064516,15.202962869623656,0,0
Brunnerdale.Ogdonia,2021,18.521,12.69,15.161290322580644,16.61517741935484,15.84659375,0,0
Conklin.Mill,2019,18.616,12.207,14.763403225806451,16.28625806451613,15.504670194892473,0,0
Conklin.Mill,2020,18.236,11.528,15.069564516129033,16.816903225806453,15.923529401881721,0,0
Dry.Hoagland,2017,18.14,12.594,14.984548387096774,15.909241935483871,15.421822916666667,0,0
Dry.Hoagland,2020,18.236,13.846,16.016,16.838564516129033,16.425507728494622,0,0
Dry.Loyalsock,2020,22.525,15.473,17.724370967741937,20.094548387096776,18.752402721774192,0.13407258064516128,0
Dutchman.Loyalsock,2020,17.57,12.11,14.535951612903226,15.849822580645162,15.190573588709677,0,0
Dutchman.Loyalsock,2021,17.855,11.431,14.000854838709678,15.263838709677419,14.63852620967742,0,0
Ellis.Loyalsock,2020,21.187,12.013,15.879451612903226,19.09333870967742,17.448787634408603,0.046538978494623656,0
Ellis.Loyalsock,2021,20.329,11.722,14.902758064516128,17.679774193548386,16.158919690860216,0.0020161290322580645,0
Fall.Hoagland,2020,20.805,13.365,17.253854838709678,18.582129032258063,17.97148185483871,0.009240591397849463,0
FlagMarsh.Pigeon,2020,19.092,12.594,15.75091935483871,17.510887096774194,16.656762936827956,0,0
Grandad.Hessler,2020,16.903,11.625,14.254790322580645,15.789887096774192,14.993847782258065,0,0
Level.Lick,2020,19.092,13.173,16.200112903225808,17.547790322580646,16.860389616935485,0,0
Painter.LittleBear,2020,20.138,13.942,16.500129032258066,18.551516129032258,17.41059929435484,0.002856182795698925,0
Red.LittleBear,2020,16.618,12.207,14.308903225806452,15.309387096774193,14.788860047043011,0,0
Sand.Mill,2020,21.378,13.269,17.019290322580645,18.299951612903225,17.666043514784946,0.02721774193548387,0
SandSpring.LittleBear,2020,16.141,12.013,13.963564516129033,14.979258064516129,14.44594506048387,0,0
Sherman.Loyalsock,2020,25.902,14.038,18.407096774193548,22.79664516129032,20.47978813844086,0.5675403225806451,0.07476478494623656
Sherman.Loyalsock,2021,23.1,14.038,16.55466129032258,19.404145161290323,17.845357022849463,0.10198252688172044,0
Shingle.Bear,2020,19.948,13.75,16.587693548387097,18.11567741935484,17.34540809811828,0,0
Shingle.Bear,2021,17.95,12.207,14.79066129032258,15.878,15.310515961021505,0,0
Streby.Lick,2020,20.71,13.269,16.797919354838708,19.127,17.792543850806453,0.02620967741935484,0
Yellow.LittleLoyalsock,2020,20.234,14.134,17.309612903225805,18.622112903225805,17.950228830645163,0.0011760752688172043,0
